IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,FinalDescription,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode
90891151,12/07/2015 01:50,2015,2015/16,Special Service,1,2,298,596,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVING PATIENT FROM HOME,E05000566,Sutton South,E09000029,Sutton,Sutton,SM2
92692151,16/07/2015 00:23,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05011489,Woodside,E09000008,CROYDON,Woodside,SE25
93990151,18/07/2015 09:31,2015,2015/16,Special Service,1,1,298,298,Barge ,Boat,1,Assist other agencies,Assist ambulance with over weight person,PERSON FALLEN FROM BOAT,E05000380,St Peter's,E09000019,Islington,Islington,N1
112032151,20/08/2015 19:37,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO MOVE PATIENT,E05000112,CLOCK HOUSE,E09000006,BROMLEY,Beckenham,SE20
113360151,23/08/2015 10:54,2015,2015/16,Special Service,1,2,298,596,Pub/wine bar/bar ,Non Residential,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH A BARIATRIC PATIENT REMOVAL,E05000644,ST. JAMES'S,E09000033,WESTMINSTER,Soho,SW1Y
119333151,04/09/2015 23:04,2015,2015/16,Special Service,NULL,NULL,298,NULL,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH BARIATRIC PATIENT,E05000532,WEST TWICKENHAM,E09000027,RICHMOND UPON THAMES,Twickenham,TW2
120622151,07/09/2015 16:13,2015,2015/16,Special Service,1,1,298,298,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT,E05000624,SOUTHFIELDS,E09000032,WANDSWORTH,Wandsworth,SW18
121771151,09/09/2015 23:10,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT,E05000184,NORTHOLT MANDEVILLE,E09000009,EALING,Northolt,UB5
123096151,12/09/2015 18:24,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS CREW WITH BARIATRIC PATIENT,E05011489,Woodside,E09000008,CROYDON,Woodside,SE25
128966151,25/09/2015 12:30,2015,2015/16,Special Service,1,1,298,298,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED BEHIND LOCKED DOORS,E05000427,PRINCE'S,E09000022,LAMBETH,Lambeth,SE11
129590151,26/09/2015 16:47,2015,2015/16,Special Service,1,1,298,298,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT,E05000125,PLAISTOW AND SUNDRIDGE,E09000006,BROMLEY,Bromley,BR1
134930151,07/10/2015 19:48,2015,2015/16,Special Service,1,1,298,298,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH LARGE PATIENT,E05000624,SOUTHFIELDS,E09000032,WANDSWORTH,Wandsworth,SW18
137080151,12/10/2015 14:39,2015,2015/16,Special Service,2,3,298,894,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT,E05000115,CRAY VALLEY WEST,E09000006,BROMLEY,Orpington,BR5
137168151,12/10/2015 17:03,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH BARIATRIC PATIENT,E05000115,CRAY VALLEY WEST,E09000006,BROMLEY,Orpington,BR5
141772151,22/10/2015 21:51,2015,2015/16,Special Service,1,1,298,298,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05009372,HACKNEY CENTRAL,E09000012,HACKNEY,Homerton,E8
145318151,30/10/2015 14:11,2015,2015/16,Special Service,1,3,298,894,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON LOCKED IN TOILET,E05000136,HAVERSTOCK,E09000007,CAMDEN,Kentish Town,NW3
145406151,30/10/2015 17:35,2015,2015/16,Special Service,2,3,298,894,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000136,HAVERSTOCK,E09000007,CAMDEN,Kentish Town,NW3
145622151,31/10/2015 01:48,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST ELDERLY LADY FALLEN OVER,E05000447,LEE GREEN,E09000023,LEWISHAM,Lee Green,SE12
154250151,17/11/2015 00:27,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000458,CRICKET GREEN,E09000024,MERTON,Mitcham,CR4
161541-20112015,20/11/2015 16:02,2015,2015/16,Special Service,2,3,298,894,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Effecting entry/exit,Effecting entry/exit - To medical case,ASSIST LAS WITH HEAVY PATIENT STUCK BEHIND A DOOR PATIENT IN CARDIAC ARREST LAS ON SCENE,E05011097,Champion Hill,E09000028,SOUTHWARK,Brixton,SE5
174660-20122015,20/12/2015 15:53,2015,2015/16,Special Service,1,1,298,298,Bus/coach ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED ON COACH LAS ON SCENE AND STATE A LADY IS TRAPPED BETWEEN SEATS,E05000649,WEST END,E09000033,WESTMINSTER,Soho,W1K
176960-26122015,26/12/2015 10:49,2015,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS REMOVE PATIENT IN CARDIAC ARREST PATIENT IS 22 STONE,E05000122,ORPINGTON,E09000006,BROMLEY,Orpington,BR6
013234-02022016,02/02/2016 17:37,2016,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS LIFTING HEAVY PATIENT,E05000451,RUSHEY GREEN,E09000023,LEWISHAM,Lewisham,SE6
016922-11022016,11/02/2016 14:22,2016,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT WITH DIFFICULT REMOVAL,E05000218,ELTHAM NORTH,E09000011,GREENWICH,Eltham,SE9
018682-15022016,15/02/2016 14:49,2016,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,LAS REQUESTING HELP FOR REMOVAL OF HEAVY PATIENT - LAS ON SCENE,E05000569,WALLINGTON NORTH,E09000029,SUTTON,Wallington,SM6
021189-21022016,21/02/2016 16:15,2016,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05000565,SUTTON NORTH,E09000029,SUTTON,Sutton,SM1
023367-26022016,26/02/2016 23:19,2016,2015/16,Special Service,2,5,298,1490,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT TO HOSPITAL,E05000404,CHESSINGTON NORTH AND HOOK,E09000021,KINGSTON UPON THAMES,Surbiton,KT9
026882-06032016,06/03/2016 03:13,2016,2015/16,Special Service,1,1,298,298,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,BARIATRIC PERSON TRAPPED UNDER FRIDGE,E05000482,EAST HAM SOUTH,E09000025,NEWHAM,East Ham,E6
027567-08032016,08/03/2016 01:08,2016,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,MALE FALLEN ON FLOOR   MALE IS SIX FOOT SEVEN AND WEIGHS APPROX TWENTY SEVEN STONE,E05000306,BROOKLANDS,E09000016,HAVERING,Dagenham,RM7
031738-17032016,17/03/2016 21:43,2016,2015/16,Special Service,1,1,298,298,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND TO MALE AGED 87 YEARS CARDIAC ARREST,E05000032,GASCOIGNE,E09000002,BARKING AND DAGENHAM,Barking,IG11
032824-20032016,20/03/2016 10:05,2016,2015/16,Special Service,1,1,298,298,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND TO UNCONSCIOUS OR FAINTING INEFFECTIVE BREATHING 56 YEAR OLD FEMALE,E05000613,EAST PUTNEY,E09000032,WANDSWORTH,Wandsworth,SW18
037469-29032016,29/03/2016 22:07,2016,2015/16,Special Service,1,1,298,298,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND TO CASUALTY FALLEN DOWN STAIRS,E05000417,BRIXTON HILL,E09000022,LAMBETH,West Norwood,SW2
038573-01042016,01/04/2016 15:36,2016,2016/17,Special Service,1,1,326,326,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED BEHIND LOCKED DOORS SECOND FLOOR,E05000126,SHORTLANDS,E09000006,BROMLEY,Beckenham,BR2
041248-07042016,07/04/2016 19:26,2016,2016/17,Special Service,1,1,326,326,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED BEHIND CLOSED ASSISTANCE IN GAINING ENTRY - POLICE IN ATTENDANCE BLUE BLOCK,E05000143,ST. PANCRAS AND SOMERS TOWN,E09000007,CAMDEN,Euston,NW1
043912-14042016,14/04/2016 12:34,2016,2016/17,Special Service,1,1,326,326,Car ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,ELDERLY FEMALE STUCK IN CAR  AMB ARE NOT SURE HOW FEMALE GOT STUCK OR IF SHE IS INJURED AMB ARE ON W,E05000460,FIGGE'S MARSH,E09000024,MERTON,Mitcham,CR4
043926-14042016,14/04/2016 13:25,2016,2016/17,Special Service,1,1,326,326,Car ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,ELDERLY FEMALE STUCK IN CAR  AMBULANCE ON SCENE,E05000460,FIGGE'S MARSH,E09000024,MERTON,Mitcham,CR4
045541-18042016,18/04/2016 09:01,2016,2016/17,Special Service,2,9,326,2934,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH BARIATRIC PATIENT,E05011243,Fullwell,E09000026,REDBRIDGE,Hainault,IG5
049321-27042016,27/04/2016 01:19,2016,2016/17,Special Service,1,1,326,326,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS PERSON COLLAPSED BEHIND DOOR,E05000271,HARRINGAY,E09000014,HARINGEY,Hornsey,N8
049723-28042016,28/04/2016 00:01,2016,2016/17,Special Service,1,1,326,326,Passenger plane ,Aircraft,1,Stand By,Stand by - Aircraft landing,FULL EMERGENCY      VIRGIN AIRBUS 3300 RETURNER   OVERWEIGHT LANDING     ETA 0015,E05000331,HEATHROW VILLAGES,E09000017,HILLINGDON,Heathrow,TW19
053358-05052016,05/05/2016 15:15,2016,2016/17,Special Service,NULL,NULL,326,NULL,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ILO ASSESSMENT - ASSIST POLICE AND UNDERTAKERS WITH DECEASED PERSON STUCK IN BATH,E05000207,SOUTHBURY,E09000010,ENFIELD,Enfield,EN1
053983-06052016,06/05/2016 16:57,2016,2016/17,Special Service,1,2,326,652,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,REQUEST FROM LAS TO ASSIST WITH REMOVING 20 STONE PATIENT PATIENT IS A 63 YEAR OLD FEMALE WHO LAS BE,E05000109,BROMLEY TOWN,E09000006,BROMLEY,Bromley,BR2
054518-07052016,07/05/2016 16:40,2016,2016/17,Special Service,1,3,326,978,Caravan/Mobile home (permanent dwelling),Dwelling,1,Assist other agencies,Assist ambulance with over weight person,78 YEAR OLD MALE FALLEN WITH BACK INJURY LAS NEED HELP IN REMOVING FROM PROPERTY THE PROPERTY NUMBER,E05000314,HEATON,E09000016,HAVERING,Harold Hill,RM4
056452-11052016,11/05/2016 02:28,2016,2016/17,Special Service,1,2,326,652,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CORESPOND TO 75 YR OLD MALE UNCONSCIOUS AFTER FALL,E05009327,MILE END,E09000030,TOWER HAMLETS,Bethnal Green,E3
057815-14052016,14/05/2016 00:48,2016,2016/17,Special Service,1,1,326,326,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,No action (not false alarm),Service not required,ASSIST LAS WITH BARIATRIC PATIENT  LAS AND POLICE IN ATTENDANCE,E05000132,FORTUNE GREEN,E09000007,CAMDEN,West Hampstead,NW6
059044-16052016,16/05/2016 16:25,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND TO  80 YEAR OLD MALE FALLEN AND UNCONSCIOUS POSSIBLE ARREST POST FALL,E05000436,VASSALL,E09000022,LAMBETH,Brixton,SW9
060162-19052016,19/05/2016 00:22,2016,2016/17,Special Service,1,1,326,326,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,DISABLED PERSON FALLEN - REQUIRES ASSISTANCE,E05000267,BOUNDS GREEN,E09000014,HARINGEY,Southgate,N11
061525-21052016,21/05/2016 21:10,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - No action required by Brigade,ASSIST LAS WITH REMOVAL OF OBESE PATIENT 72 YEAR OLD MALE 25 STONE - HAVING SEIZURE - LAS ON SCENE,E05000334,MANOR,E09000017,HILLINGDON,Ruislip,HA4
065540-30052016,30/05/2016 09:15,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT  25 STONE - CURRENTLY HAVING A STROKE,E05000197,EDMONTON GREEN,E09000010,ENFIELD,Edmonton,N9
067355-03062016,03/06/2016 13:18,2016,2016/17,Special Service,2,3,326,978,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH HEAVY PATIENT REMOVAL  PATIENT HAS SEPSIS RVP WAKEFIELD RD JO RAINHAM ROAD   .,E05000212,UPPER EDMONTON,E09000010,ENFIELD,Edmonton,N18
073273-13062016,13/06/2016 22:08,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND 85 YR OLD FEMALE NOT CONSCIOUS NOT BREATHING CARDIAC OR RESPIRATORY ARREST,E05000611,BEDFORD,E09000032,WANDSWORTH,Tooting,SW17
074425-16062016,16/06/2016 14:08,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH BARIATRIC PATIENT  LAS ON SCENE,E05000118,FARNBOROUGH AND CROFTON,E09000006,BROMLEY,Orpington,BR6
075663-18062016,18/06/2016 23:03,2016,2016/17,Special Service,1,1,326,326,Road surface/pavement ,Outdoor,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO-RESPOND - 25 YEAR OLD MALE FALLEN ON PAVEMENT PSSOBLY UNCONSCIOUS  STANDEN ROAD JUNCTION WIMBLEDO,E05000624,SOUTHFIELDS,E09000032,WANDSWORTH,Wandsworth,SW18
082131-29062016,29/06/2016 01:33,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000603,LEA BRIDGE,E09000031,WALTHAM FOREST,Leyton,E10
082625-30062016,30/06/2016 06:22,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS REMOVING LARGE PATIENT IMMEDIATELY LIFE THREATENING SITUATION CALLER STATES SECOND FLOOR ,E05000228,THAMESMEAD MOORINGS,E09000011,GREENWICH,Plumstead,SE28
085501-06072016,06/07/2016 01:34,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT,E05000481,EAST HAM NORTH,E09000025,NEWHAM,East Ham,E12
086139-07072016,07/07/2016 13:06,2016,2016/17,Special Service,1,1,326,326,Passenger plane ,Aircraft,1,Stand By,Stand by - Aircraft landing,FULL EMERGENCY - NOT AIRCRAFT ACCIDENT  DELTA AIRLINES INBOUND OVERWEIGHT 1325 ESTIMATED LANDING,E05000331,HEATHROW VILLAGES,E09000017,HILLINGDON,Heathrow,TW6
087474-10072016,10/07/2016 01:09,2016,2016/17,Special Service,1,1,326,326,Road surface/pavement ,Outdoor,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,"CO-RESPOND TO FEMALE 30YRS UNCONSCIOUS OR ARREST POST FALL  FALLEN OF BICYCLE, NOT RESPONDING",E05009327,MILE END,E09000030,TOWER HAMLETS,Poplar,E3
089146-13072016,13/07/2016 13:46,2016,2016/17,Special Service,1,2,326,652,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIT POLICE WITH PERSON COLLAPSED BEHIND LOCKED DOORS ***THIS IS NUMBER 235***,E05000453,TELEGRAPH HILL,E09000023,LEWISHAM,New Cross,SE14
089535-14072016,14/07/2016 01:59,2016,2016/17,Special Service,1,1,326,326,Road surface/pavement ,Outdoor,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND TO 59 YR OLD FEMALE UNCONSCIOUS BUT BREATHING FOLLOWING A FALL,E05000476,BOLEYN,E09000025,NEWHAM,East Ham,E6
091983-18072016,18/07/2016 15:04,2016,2016/17,Special Service,1,1,326,326,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT 26 MALE OVER WEIGHT - HEART FAILURE,E05000301,ROXBOURNE,E09000015,HARROW,Northolt,HA2
093807-21072016,21/07/2016 01:37,2016,2016/17,Special Service,1,2,326,652,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND TO CARDIAC OR RESPIRATORY ARREST 62 YEAR OLD FEMALE NOT BREATHING AT ALL,E05011110,Peckham,E09000028,SOUTHWARK,Peckham,SE15
095227-23072016,23/07/2016 11:47,2016,2016/17,Special Service,1,1,326,326,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT    LAS ON SCENE PATIENT IS ON 2ND FLOOR LAS STATE DOOR IS TOO THI,E05011467,Crystal Palace & Upper Norwood,E09000008,CROYDON,Woodside,SE19
097505-27072016,27/07/2016 04:18,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,ASSIST AMBULANCE WITH REMOVAL OF PATIENT AMBULANCE ON SCENE,E05000213,WINCHMORE HILL,E09000010,ENFIELD,Southgate,N13
101880-04082016,04/08/2016 21:42,2016,2016/17,Special Service,1,2,326,652,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE,E05000044,BURNT OAK,E09000003,BARNET,Mill Hill,HA8
102311-05082016,05/08/2016 19:14,2016,2016/17,Special Service,1,4,326,1304,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH DIFFICULT REMOVAL OF PATIENT SECOND FLOOR - CHEST PAINS AND DIFFICULTY BREATHING,E05000467,POLLARDS HILL,E09000024,MERTON,Norbury,CR4
103043-07082016,07/08/2016 05:48,2016,2016/17,Special Service,2,3,326,978,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH REMOVAL OF PATIENT IN CARDIAC ARREST,E05000041,VILLAGE,E09000002,BARKING AND DAGENHAM,Dagenham,RM10
103957-08082016,08/08/2016 14:17,2016,2016/17,Special Service,2,3,326,978,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST WITH BARIATRIC PATIENT LAS STATE RISK TO LIFE IF NOT REMOVED QUICKLY,E05000366,BARNSBURY,E09000019,ISLINGTON,Islington,N1
108021-15082016,15/08/2016 09:10,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS IN REMOVING HEAVY PATIENT 67 YEAR OLD UNRESPONSIVE MALE WITH DIFFICULTY DREATHING,E05011489,Woodside,E09000008,CROYDON,Woodside,SE25
113816-25082016,25/08/2016 16:34,2016,2016/17,Special Service,1,1,326,326,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Medical Incident,Medical incident - No action required by Brigade,ASSIST LAS WITH HEAVY PATIENT  LAS ON SCENE,E05000451,RUSHEY GREEN,E09000023,LEWISHAM,Forest Hill,SE6
113932-25082016,25/08/2016 19:53,2016,2016/17,Special Service,1,1,326,326,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH REMOVAL OF  BARIATRIC PATIENT WITH  LIFE THREATENING CONDITION,E05009320,BOW WEST,E09000030,TOWER HAMLETS,Bethnal Green,E3
114426-26082016,26/08/2016 16:10,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT - CARDIAC ARREST (HOARDER PREMISES AND ASSISTANCE ALSO NEEDED FOR ACCE,E05000041,VILLAGE,E09000002,BARKING AND DAGENHAM,Dagenham,RM10
117914-01092016,01/09/2016 17:47,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,TO ASSIST LAS WITH HEAVY PATIENT STUCK IN BATH FOR 3 DAYS AGED 72 YEARS,E05011234,Aldborough,E09000026,REDBRIDGE,Ilford,IG6
125642-15092016,15/09/2016 20:09,2016,2016/17,Special Service,1,2,326,652,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,TO ASSIST AMB WITH DIFFICULT REMOVAL OF PATIENT,E05000331,HEATHROW VILLAGES,E09000017,HILLINGDON,Hayes,UB7
127909-20092016,20/09/2016 19:13,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO REESPOND TO FEMALE AGED 21 UNCONSCIOUS AND BREATHING,E05000478,CANNING TOWN SOUTH,E09000025,NEWHAM,Plaistow,E16
128309-21092016,21/09/2016 15:49,2016,2016/17,Special Service,1,2,326,652,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,BARIATRIC PATIENT SUFFERING POSSIBLE STROKE - LAS ON SCENE,E05000482,EAST HAM SOUTH,E09000025,NEWHAM,East Ham,E6
129078-23092016,23/09/2016 09:29,2016,2016/17,Special Service,1,1,326,326,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,No action (not false alarm),Service not required,ASSIST LAS WITH HEAVY PATIENT STUCK IN DOOR,E05000364,SYON,E09000018,HOUNSLOW,Heston,TW7
129289-23092016,23/09/2016 15:55,2016,2016/17,Special Service,1,1,326,326,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,RUNNING TO ELDERLY HEAVY PATIENT     STAFF REQUESTING ASSISTANCE DUE TO LIFT FAILURE,E05011476,Purley & Woodcote,E09000008,CROYDON,Purley,CR8
131884-28092016,28/09/2016 19:20,2016,2016/17,Special Service,1,1,326,326,Park ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO REMOVE PATIENT FROM LOCKED PARK,E05000350,CRANFORD,E09000018,HOUNSLOW,Heathrow,TW5
132035-29092016,29/09/2016 01:42,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED BEHIND LOCKED DOORS,E05009383,SPRINGFIELD,E09000012,HACKNEY,Stoke Newington,N16
132132-29092016,29/09/2016 11:23,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,PERSON STUCK IN STAIR LIFT ELDERLY LADY OF 94   PLEASE ADVISE IF AMBULANCE IS REQUIRED,E05000624,SOUTHFIELDS,E09000032,WANDSWORTH,Wandsworth,SW18
133116-01102016,01/10/2016 07:22,2016,2016/17,Special Service,1,1,326,326,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT 46 YEAR OLD MALE WEIGHING 35 STONE,E05000105,WILLESDEN GREEN,E09000005,BRENT,Willesden,NW2
134142-03102016,03/10/2016 09:36,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,CO RESPOND TO 83 YR OLD MAN UNCONSCIOUS,E05000477,CANNING TOWN NORTH,E09000025,NEWHAM,Plaistow,E16
143760-23102016,23/10/2016 12:31,2016,2016/17,Special Service,1,1,326,326,Cycle path/public footpath/bridleway ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,J/O WEST END LANE RTC CAR VS PEDESTRIAN A412 DEALING - NO FURTHER BRIGADE ATTENDANCE REQUIRED,E05000145,WEST HAMPSTEAD,E09000007,CAMDEN,West Hampstead,NW6
146912-29102016,29/10/2016 18:37,2016,2016/17,Special Service,1,1,326,326,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,TO ASSIST AMBULANCE WITH PATIENT WITH BROKEN PELVIS LIFE THREATENING - NO AVAILABLE UNITS,E05011231,Slade Green & Northend,E09000004,BEXLEY,Erith,DA8
147625-30102016,30/10/2016 19:49,2016,2016/17,Special Service,1,1,326,326,Cycle path/public footpath/bridleway ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,ROAD TRAFFIC COLLISION JUNCTION OF LYMINGTON ROAD,E05000145,WEST HAMPSTEAD,E09000007,CAMDEN,West Hampstead,NW6
